Name_std,size_cat,stenotopy,food_spec,Tniche
Abraeus granulum,small,eurytopic,polyphagous,intermediate
Abraeus perpusillus,small,oligotopic,,warm
Acanthocinus aedilis,large,oligotopic,monophagous,cold
Acanthocinus griseus,medium,stenotopic,monophagous,intermediate
Accanthopus velikensis,medium,stenotopic,monophagous,warm
Acmaeoderella flavofasciata,medium,stenotopic,oligophagous,warm
Acmaeops pratensis,medium,eurytopic,oligophagous,cold
Acmaeops septentrionis,medium,eurytopic,oligophagous,cold
Aderus populneus,small,oligotopic,polyphagous,intermediate
Aegomorphus clavipes,medium,oligotopic,polyphagous,intermediate
Aegosoma scabricorne,large,oligotopic,polyphagous,warm
Agrilus angustulus,medium,oligotopic,polyphagous,intermediate
Agrilus ater,medium,oligotopic,monophagous,intermediate
Agrilus biguttatus,medium,eurytopic,oligophagous,intermediate
Agrilus convexicollis,medium,stenotopic,oligophagous,intermediate
Agrilus cuprescens,medium,oligotopic,polyphagous,intermediate
Agrilus cyanescens,medium,oligotopic,monophagous,intermediate
Agrilus derasofasciatus,medium,oligotopic,monophagous,warm
Agrilus graminis,medium,oligotopic,polyphagous,warm
Agrilus integerrimus,medium,oligotopic,monophagous,intermediate
Agrilus laticornis,medium,oligotopic,polyphagous,intermediate
Agrilus obscuricollis,medium,oligotopic,polyphagous,warm
Agrilus olivicolor,medium,oligotopic,polyphagous,intermediate
Agrilus pratensis,medium,stenotopic,monophagous,intermediate
Agrilus sinuatus,medium,oligotopic,oligophagous,intermediate
Agrilus sulcicollis,medium,oligotopic,monophagous,intermediate
Agrilus suvorovi,medium,stenotopic,monophagous,intermediate
Agrilus viridis,medium,stenotopic,polyphagous,intermediate
Allecula morio,medium,oligotopic,polyphagous,intermediate
Alosterna tabacicolor,medium,oligotopic,polyphagous,intermediate
Ampedus balteatus,medium,eurytopic,polyphagous,intermediate
Ampedus cinnabarinus,medium,eurytopic,polyphagous,intermediate
Ampedus elongatulus,medium,eurytopic,polyphagous,intermediate
Ampedus erythrogonus,medium,eurytopic,polyphagous,intermediate
Ampedus nigerrimus,medium,oligotopic,polyphagous,intermediate
Ampedus nigrinus aggr.,medium,eurytopic,polyphagous,cold
Ampedus pomonae,medium,eurytopic,polyphagous,intermediate
Ampedus pomorum aggr.,medium,eurytopic,polyphagous,intermediate
Ampedus praeustus,medium,eurytopic,polyphagous,intermediate
Ampedus quercicola,medium,eurytopic,polyphagous,warm
Ampedus rufipennis,medium,eurytopic,polyphagous,warm
Ampedus sanguineus,medium,eurytopic,oligophagous,intermediate
Ampedus sanguinolentus,medium,eurytopic,oligophagous,intermediate
Ampedus scrofa,medium,eurytopic,oligophagous,intermediate
Ampedus sinuatus,medium,eurytopic,polyphagous,intermediate
Anaesthetis testacea,medium,oligotopic,polyphagous,intermediate
Anaglyptus gibbosus,medium,oligotopic,polyphagous,warm
Anaglyptus mysticus,medium,stenotopic,polyphagous,intermediate
Anaspis brunnipes,small,oligotopic,,intermediate
Anaspis costai,small,eurytopic,oligophagous,intermediate
Anaspis fasciata,small,oligotopic,polyphagous,warm
Anaspis flava,small,eurytopic,polyphagous,intermediate
Anaspis frontalis,small,eurytopic,polyphagous,intermediate
Anaspis kiesenwetteri,small,oligotopic,,cold
Anaspis latiuscula,small,eurytopic,,cold
Anaspis lurida,small,eurytopic,oligophagous,warm
Anaspis maculata,small,eurytopic,polyphagous,warm
Anaspis pulicaria,small,oligotopic,oligophagous,warm
Anaspis quadrimaculata,small,oligotopic,,warm
Anaspis regimbarti,small,stenotopic,polyphagous,warm
Anaspis ruficollis,small,eurytopic,polyphagous,intermediate
Anaspis rufilabris,small,eurytopic,polyphagous,cold
Anaspis thoracica,small,eurytopic,polyphagous,intermediate
Anaspis varians,small,eurytopic,oligophagous,intermediate
Anastrangalia dubia,medium,eurytopic,oligophagous,intermediate
Anastrangalia reyi,medium,eurytopic,oligophagous,cold
Anastrangalia sanguinolenta,medium,eurytopic,oligophagous,intermediate
Anidorus nigrinus,small,eurytopic,polyphagous,intermediate
Anisandrus dispar,small,eurytopic,polyphagous,intermediate
Anisorus quercus,large,stenotopic,polyphagous,warm
Anobium hederae,small,stenotopic,monophagous,warm
Anobium inexspectatum,small,stenotopic,polyphagous,warm
Anobium punctatum,small,oligotopic,polyphagous,intermediate
Anogcodes fulvicollis,medium,eurytopic,monophagous,cold
Anogcodes melanurus,medium,oligotopic,,intermediate
Anogcodes rufiventris,medium,oligotopic,oligophagous,intermediate
Anoplodera rufipes,medium,stenotopic,polyphagous,intermediate
Anoplodera sexguttata,medium,stenotopic,polyphagous,intermediate
Anthaxia candens,medium,oligotopic,monophagous,intermediate
Anthaxia chevrieri,medium,oligotopic,monophagous,warm
Anthaxia cichorii,medium,oligotopic,oligophagous,warm
Anthaxia fulgurans,medium,oligotopic,polyphagous,warm
Anthaxia godeti,medium,oligotopic,monophagous,intermediate
Anthaxia helvetica,medium,oligotopic,polyphagous,intermediate
Anthaxia hungarica,medium,oligotopic,monophagous,warm
Anthaxia manca,medium,oligotopic,monophagous,warm
Anthaxia morio,medium,oligotopic,oligophagous,intermediate
Anthaxia nitidula,medium,oligotopic,monophagous,intermediate
Anthaxia podolica,medium,oligotopic,polyphagous,intermediate
Anthaxia quadripunctata,medium,oligotopic,polyphagous,cold
Anthaxia salicis,medium,oligotopic,polyphagous,warm
Anthaxia sepulchralis,medium,oligotopic,monophagous,warm
Anthocomus equestris,medium,eurytopic,,intermediate
Anthocomus fasciatus,small,oligotopic,oligophagous,intermediate
Anthribus nebulosus,small,eurytopic,polyphagous,intermediate
Aplocnemus alpestris,medium,eurytopic,oligophagous,intermediate
Aplocnemus impressus,medium,eurytopic,polyphagous,intermediate
Aplocnemus nigricornis,medium,eurytopic,polyphagous,intermediate
Aplocnemus virens,medium,eurytopic,oligophagous,intermediate
Arhopalus rusticus,large,oligotopic,oligophagous,intermediate
Aromia moschata,large,stenotopic,polyphagous,intermediate
Asemum striatum,large,oligotopic,monophagous,cold
Aspidiphorus lareyniei,small,stenotopic,polyphagous,
Aspidiphorus orbiculatus,small,eurytopic,polyphagous,intermediate
Aulonium trisulcum,medium,oligotopic,polyphagous,intermediate
Bitoma crenata,small,oligotopic,polyphagous,intermediate
Bostrichus capucinus,medium,stenotopic,polyphagous,warm
Brachygonus megerlei,medium,oligotopic,polyphagous,warm
Buprestis haemorrhoidalis,large,stenotopic,monophagous,intermediate
Buprestis novemmaculata,large,oligotopic,monophagous,warm
Buprestis octoguttata,medium,oligotopic,monophagous,intermediate
Buprestis rustica,large,stenotopic,oligophagous,cold
Calambus bipustulatus,medium,eurytopic,polyphagous,intermediate
Callidium aeneum,medium,eurytopic,polyphagous,cold
Callidium coriaceum,medium,stenotopic,oligophagous,cold
Callidium violaceum,medium,oligotopic,oligophagous,cold
Calopus serraticornis,large,oligotopic,polyphagous,intermediate
Cardiophorus gramineus,medium,oligotopic,polyphagous,warm
Cardiophorus nigerrimus,medium,oligotopic,oligophagous,intermediate
Cardiophorus ruficollis,medium,stenotopic,oligophagous,intermediate
Cardiophorus rufipes,medium,eurytopic,polyphagous,warm
Carphoborus minimus,small,oligotopic,monophagous,intermediate
Cerambyx cerdo,large,stenotopic,oligophagous,warm
Cerambyx scopolii,large,eurytopic,polyphagous,warm
Ceruchus chrysomelinus,medium,oligotopic,polyphagous,cold
Cerylon deplanatum,small,oligotopic,polyphagous,cold
Cerylon fagi,small,stenotopic,polyphagous,intermediate
Cerylon ferrugineum,small,eurytopic,polyphagous,intermediate
Cerylon histeroides,small,eurytopic,polyphagous,intermediate
Cetonia aurata,large,stenotopic,polyphagous,intermediate
Chalcophora mariana,large,stenotopic,monophagous,intermediate
Chlorophorus figuratus,medium,stenotopic,oligophagous,warm
Chlorophorus glabromaculatus,medium,stenotopic,polyphagous,warm
Chlorophorus herbstii,medium,oligotopic,polyphagous,intermediate
Chlorophorus sartor,medium,stenotopic,polyphagous,warm
Chlorophorus varius,medium,stenotopic,polyphagous,warm
Chrysanthia geniculata,medium,eurytopic,monophagous,intermediate
Chrysanthia viridissima,medium,oligotopic,polyphagous,intermediate
Chrysobothris affinis,medium,eurytopic,polyphagous,intermediate
Chrysobothris chrysostigma,medium,oligotopic,polyphagous,cold
Chrysobothris solieri,medium,eurytopic,monophagous,warm
Cis bidentatus,small,oligotopic,polyphagous,cold
Cis boleti,small,eurytopic,polyphagous,cold
Cis comptus,small,oligotopic,polyphagous,cold
Cis dentatus,small,eurytopic,polyphagous,cold
Cis festivus,small,oligotopic,polyphagous,intermediate
Cis fusciclavis,small,stenotopic,polyphagous,intermediate
Cis glabratus,small,eurytopic,polyphagous,cold
Cis micans,small,eurytopic,,cold
Cis punctulatus,small,oligotopic,oligophagous,cold
Cis rugulosus,small,oligotopic,polyphagous,intermediate
Cis villosulus,small,eurytopic,polyphagous,intermediate
Clerus mutillarius,medium,stenotopic,oligophagous,warm
Clytus arietis,medium,eurytopic,polyphagous,intermediate
Clytus lama,medium,oligotopic,oligophagous,intermediate
Clytus tropicus,medium,stenotopic,monophagous,warm
Colobicus hirtus,medium,stenotopic,polyphagous,warm
Colydium elongatum,medium,eurytopic,polyphagous,warm
Conopalpus brevicollis,medium,stenotopic,polyphagous,warm
Conopalpus testaceus,medium,oligotopic,polyphagous,intermediate
Coraebus undatus,medium,stenotopic,oligophagous,warm
Corticeus bicolor,small,oligotopic,polyphagous,intermediate
Corticeus linearis,small,oligotopic,oligophagous,cold
Corticeus longulus,medium,oligotopic,oligophagous,cold
Corticeus unicolor,medium,oligotopic,polyphagous,intermediate
Cortodera femorata,medium,eurytopic,polyphagous,intermediate
Coxelus pictus,small,eurytopic,polyphagous,intermediate
Cryphalus asperatus,small,oligotopic,oligophagous,intermediate
Cryphalus intermedius,small,oligotopic,monophagous,cold
Cryphalus piceae,small,oligotopic,oligophagous,intermediate
Cryphalus saltuarius,small,oligotopic,oligophagous,cold
Cryptolestes duplicatus,small,oligotopic,polyphagous,warm
Crypturgus cinereus,small,oligotopic,oligophagous,intermediate
Crypturgus hispidulus,small,oligotopic,oligophagous,cold
Crypturgus pusillus,small,oligotopic,oligophagous,cold
Ctesias serra,medium,oligotopic,polyphagous,intermediate
Cyrtoclytus capra,medium,oligotopic,polyphagous,intermediate
Dacne bipustulata,small,eurytopic,polyphagous,intermediate
Danosoma fasciata,large,oligotopic,oligophagous,cold
Dasytes aeratus,medium,oligotopic,polyphagous,intermediate
Dasytes caeruleus,medium,oligotopic,oligophagous,intermediate
Dasytes fusculus,medium,eurytopic,monophagous,cold
Dasytes niger,medium,eurytopic,polyphagous,cold
Dasytes obscurus,medium,oligotopic,oligophagous,cold
Dasytes plumbeus,medium,eurytopic,polyphagous,intermediate
Dasytes subalpinus,medium,oligotopic,oligophagous,intermediate
Dasytes virens,medium,eurytopic,polyphagous,intermediate
Deilus fugax,medium,stenotopic,monophagous,warm
Dendroctonus micans,medium,oligotopic,oligophagous,intermediate
Dendrophilus punctatus,small,stenotopic,polyphagous,intermediate
Denticollis linearis,medium,oligotopic,polyphagous,intermediate
Denticollis rubens,medium,eurytopic,polyphagous,intermediate
Diacanthous undulatus,medium,oligotopic,oligophagous,cold
Diaclina fagi,medium,stenotopic,polyphagous,warm
Diaperis boleti,medium,oligotopic,polyphagous,intermediate
Dicerca alni,large,stenotopic,polyphagous,intermediate
Dictyoptera aurora,medium,eurytopic,polyphagous,cold
Dinoptera collaris,medium,oligotopic,polyphagous,intermediate
Diodesma subterranea,small,stenotopic,polyphagous,intermediate
Diplocoelus fagi,small,eurytopic,polyphagous,intermediate
Dissoleucas niveirostris,small,stenotopic,polyphagous,intermediate
Dorcatoma chrysomelina,small,oligotopic,polyphagous,intermediate
Dorcatoma setosella,small,eurytopic,polyphagous,warm
Dorcus parallelipipedus,large,oligotopic,polyphagous,warm
Drapetes mordelloides,medium,oligotopic,polyphagous,intermediate
Dromaeolus barnabita,medium,eurytopic,polyphagous,warm
Dryocoetes alni,small,stenotopic,polyphagous,cold
Dryocoetes autographus,small,eurytopic,polyphagous,cold
Dryocoetes hectographus,small,eurytopic,oligophagous,cold
Dryocoetes villosus,small,oligotopic,polyphagous,intermediate
Dryophilus pusillus,small,oligotopic,oligophagous,intermediate
Elateroides dermestoides,medium,eurytopic,polyphagous,cold
Eledona agricola,small,oligotopic,polyphagous,intermediate
Endomychus coccineus,medium,oligotopic,polyphagous,intermediate
Ennearthron cornutum,small,eurytopic,polyphagous,intermediate
Episernus gentilis,small,oligotopic,monophagous,intermediate
Episernus granulatus,small,oligotopic,oligophagous,cold
Ergates faber,large,stenotopic,monophagous,warm
Ernobius abietinus,small,oligotopic,oligophagous,intermediate
Ernobius abietis,small,oligotopic,monophagous,intermediate
Ernobius angusticollis,small,oligotopic,oligophagous,intermediate
Ernobius mollis,medium,oligotopic,polyphagous,intermediate
Ernobius nigrinus,medium,oligotopic,oligophagous,intermediate
Ernoporicus fagi,small,oligotopic,polyphagous,intermediate
Ernoporus tiliae,small,oligotopic,polyphagous,intermediate
Erotides cosnardi,medium,oligotopic,polyphagous,intermediate
Etorofus pubescens,medium,eurytopic,polyphagous,intermediate
Eucnemis capucina,medium,oligotopic,polyphagous,intermediate
Euglenes pygmaeus,small,oligotopic,polyphagous,cold
Eurosomides minor,small,stenotopic,polyphagous,cold
Evodinus clathratus,medium,eurytopic,polyphagous,cold
Exocentrus adspersus,medium,oligotopic,polyphagous,warm
Exocentrus lusitanus,medium,oligotopic,monophagous,intermediate
Exocentrus punctipennis,medium,stenotopic,monophagous,warm
Gastrallus laevigatus,small,stenotopic,polyphagous,warm
Gaurotes virginea,medium,eurytopic,oligophagous,cold
Glaphyra umbellatarum,medium,oligotopic,polyphagous,intermediate
Globicornis corticalis,small,oligotopic,polyphagous,intermediate
Globicornis nigripes,small,oligotopic,polyphagous,intermediate
Gnorimus nobilis,large,stenotopic,polyphagous,intermediate
Gnorimus variabilis,large,oligotopic,polyphagous,warm
Grammoptera abdominalis,medium,stenotopic,polyphagous,warm
Grammoptera ruficornis,medium,stenotopic,polyphagous,intermediate
Grammoptera ustulata,medium,stenotopic,polyphagous,intermediate
Grynobius planus,medium,eurytopic,polyphagous,intermediate
Hadrobregmus denticollis,medium,oligotopic,polyphagous,warm
Hadrobregmus pertinax,medium,oligotopic,polyphagous,cold
Hallomenus binotatus,medium,oligotopic,polyphagous,intermediate
Helops caeruleus,large,stenotopic,oligophagous,warm
Hemicoelus canaliculatus,small,oligotopic,polyphagous,intermediate
Hemicoelus costatus,medium,oligotopic,polyphagous,intermediate
Hemicoelus fulvicornis,small,oligotopic,polyphagous,intermediate
Herophila tristis,large,oligotopic,polyphagous,warm
Hololepta plana,medium,stenotopic,monophagous,intermediate
Hylastes angustatus,small,eurytopic,oligophagous,intermediate
Hylastes ater,medium,eurytopic,oligophagous,intermediate
Hylastes attenuatus,small,oligotopic,oligophagous,intermediate
Hylastes brunneus,medium,eurytopic,oligophagous,cold
Hylastes cunicularius,medium,eurytopic,oligophagous,cold
Hylastes linearis,small,eurytopic,monophagous,warm
Hylastes opacus,small,eurytopic,oligophagous,cold
Hylastinus fankhauseri,small,eurytopic,monophagous,intermediate
Hylastinus obscurus,small,eurytopic,oligophagous,intermediate
Hylesinus crenatus,medium,stenotopic,polyphagous,intermediate
Hylesinus toranio,small,stenotopic,oligophagous,warm
Hylesinus varius,small,stenotopic,polyphagous,intermediate
Hylesinus wachtli,small,oligotopic,polyphagous,intermediate
Hylis cariniceps,medium,eurytopic,polyphagous,intermediate
Hylis foveicollis,medium,eurytopic,polyphagous,intermediate
Hylotrupes bajulus,medium,stenotopic,oligophagous,intermediate
Hylurgops glabratus,medium,eurytopic,oligophagous,cold
Hylurgops palliatus,small,eurytopic,oligophagous,cold
Hymenalia rufipes,medium,stenotopic,polyphagous,intermediate
Hypebaeus flavipes,small,stenotopic,polyphagous,intermediate
Hyperisus plumbeus,small,eurytopic,polyphagous,intermediate
Hypoganus inunctus,medium,eurytopic,polyphagous,intermediate
Ips acuminatus,small,oligotopic,oligophagous,
Ips amitinus,medium,eurytopic,oligophagous,cold
Ips cembrae,medium,eurytopic,oligophagous,intermediate
Ips sexdentatus,medium,eurytopic,oligophagous,intermediate
Ips typographus,medium,eurytopic,oligophagous,intermediate
Ischnodes sanguinicollis,medium,oligotopic,polyphagous,warm
Ischnomera caerulea,medium,oligotopic,polyphagous,intermediate
Ischnomera cyanea,medium,oligotopic,polyphagous,warm
Ischnomera sanguinicollis,medium,stenotopic,polyphagous,intermediate
Judolia sexmaculata,medium,eurytopic,oligophagous,cold
Kissophagus vicinus,small,eurytopic,monophagous,warm
Korynetes caeruleus,medium,oligotopic,polyphagous,intermediate
Korynetes ruficornis,medium,oligotopic,polyphagous,intermediate
Laemophloeus monilis,small,eurytopic,polyphagous,intermediate
Lamia textor,large,stenotopic,polyphagous,intermediate
Lamprodila festiva,medium,stenotopic,oligophagous,warm
Lamprodila rutilans,medium,eurytopic,monophagous,intermediate
Leiopus nebulosus aggr.,medium,oligotopic,polyphagous,intermediate
Leptophloeus alternans,small,oligotopic,oligophagous,cold
Leptophloeus clematidis,small,oligotopic,polyphagous,intermediate
Leptophloeus juniperi,small,oligotopic,polyphagous,warm
